x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_value__valeur_periode,period_group__groupe_periode,province__province,date,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_max__temp_max,temp_max_units__temp_max_unites,temp_min__temp_min,temp_min_units__temp_min_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-67.7,46.7,46.7,-67.7,8100300.1995.12,8100300,Dec,Monthly,NB,1995-12,-9.6,C,-4.6,C,-14.6,C,77.4,mm,0,mm,77.4,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1996.01,8100300,Jan,Monthly,NB,1996-01,-12.3,C,-5.9,C,-18.8,C,147.2,mm,95.2,mm,52,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1996.02,8100300,Feb,Monthly,NB,1996-02,-10.7,C,-5.2,C,-16.2,C,140.5,mm,25.2,mm,115.3,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1996.03,8100300,Mar,Monthly,NB,1996-03,-4.8,C,0.5,C,-10.1,C,78.6,mm,11.7,mm,66.9,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1996.04,8100300,Apr,Monthly,NB,1996-04,4.4,C,9.4,C,-0.6,C,98.7,mm,73.6,mm,25.1,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1996.05,8100300,May,Monthly,NB,1996-05,9.1,C,15.2,C,2.9,C,73.5,mm,65.6,mm,7.9,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1996.06,8100300,Jun,Monthly,NB,1996-06,17.5,C,24.2,C,10.7,C,106.3,mm,106.3,mm,0,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1996.07,8100300,Jul,Monthly,NB,1996-07,19.4,C,24.5,C,14.2,C,127.1,mm,127.1,mm,0,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1996.08,8100300,Aug,Monthly,NB,1996-08,19.1,C,24,C,14.1,C,62.1,mm,62.1,mm,0,mm,,hPa,,hPa,,kph
-67.7,46.7,46.7,-67.7,8100300.1996.09,8100300,Sep,Monthly,NB,1996-09,14.2,C,19.2,C,9.2,C,92.8,mm,92.8,mm,0,mm,,hPa,,hPa,,kph
